directory,file_name,variable_name,variable_type,description,,,
data/,waterconsumersurvey.rda,submitted_on,character,Date the survey response was submitted.,,,
data/,waterconsumersurvey.rda,latitude,numeric,GPS latitude of the household location.,,,
data/,waterconsumersurvey.rda,longitude,numeric,GPS longitude of the household location.,,,
data/,waterconsumersurvey.rda,gps_method,character,"Method used to collect the GPS coordinates (e.g., phone, GPS device).",,,
data/,waterconsumersurvey.rda,district,character,Name of the district where the household is located.,,,
data/,waterconsumersurvey.rda,traditional_authority,character,Name of the traditional authority overseeing the area.,,,
data/,waterconsumersurvey.rda,group_village_headman,character,Name of the group village headman in the household's locality.,,,
data/,waterconsumersurvey.rda,village,character,Name of the specific village where the household is located.,,,
data/,waterconsumersurvey.rda,well_being_analysis,character,"Categorization of household well being (e.g., poor, moderate, better off).",,,
data/,waterconsumersurvey.rda,household_id,numeric,Unique identifier for the household in the survey.,,,
data/,waterconsumersurvey.rda,respondent_gender,character,Gender of the person responding to the survey.,,,
data/,waterconsumersurvey.rda,attended_school,character,Indicates whether the respondent has ever attended school.,,,
data/,waterconsumersurvey.rda,highest_education_qualification,character,Highest level of education completed by the respondent.,,,
data/,waterconsumersurvey.rda,marital_status,character,Current marital status of the respondent.,,,
data/,waterconsumersurvey.rda,religion,character,Religious affiliation of the respondent.,,,
data/,waterconsumersurvey.rda,main_income_source,character,"Primary source of household income (e.g., farming, business, salary).",,,
data/,waterconsumersurvey.rda,monthly_family_income,character,Approximate total family income per month (in local currency).,,,
data/,waterconsumersurvey.rda,household_size,numeric,Total number of people living in the household.,,,
data/,waterconsumersurvey.rda,main_water_source,character,"Primary source of water for the household (e.g., borehole, tap, river).",,,
data/,waterconsumersurvey.rda,waterpoint_functional_status,character,Functional status of the households main water point.,,,
data/,waterconsumersurvey.rda,nonfunctional_reason,character,"Reason why the water point is non functional, if applicable.",,,
data/,waterconsumersurvey.rda,waterpoint_current_issues,character,Whether there are ongoing problems with the water point.,,,
data/,waterconsumersurvey.rda,waterpoint_current_problem,character,"Type of problem currently affecting the water point (e.g., broken pump, contamination).",,,
data/,waterconsumersurvey.rda,waterpoint_current_problem_other,character,Specification of any other problem not captured by predefined choices.,,,
data/,waterconsumersurvey.rda,water_collection_time_minutes,numeric,"Round trip time (in minutes) to collect water from the source, including waiting time.",,,
data/,waterconsumersurvey.rda,seasonal_water_shortage,character,Indicates if the water source becomes unavailable at certain times of the year.,,,
data/,waterconsumersurvey.rda,shortage_months,character,Specific months when water shortages are experienced.,,,
data/,waterconsumersurvey.rda,daily_water_use_buckets,numeric,Average number of 20 litre buckets of water used daily by the household.,,,
data/,waterconsumersurvey.rda,has_water_tariff,character,Whether a tariff or user fee is charged for water use.,,,
data/,waterconsumersurvey.rda,no_tariff_reason,character,"Reason for not charging a tariff, if applicable.",,,
data/,waterconsumersurvey.rda,no_tariff_reason_other,character,"Additional explanation for why there is no tariff, if not listed in predefined options.",,,
data/,waterconsumersurvey.rda,waterpoint_breakdown_response,character,Usual response or process followed when the water point breaks down.,,,
data/,waterconsumersurvey.rda,willing_to_pay_for_improvement,character,Indicates if the household is willing to pay for improved water services.,,,
data/,waterconsumersurvey.rda,current_tariff_kwacha,numeric,Amount of the current tariff or user fee in Malawi Kwacha.,,,
data/,waterconsumersurvey.rda,current_tariff_unknown,logical,Indicates if the respondent does not know the current tariff.,,,
data/,waterconsumersurvey.rda,max_tariff_willing_to_pay,numeric,Maximum amount the household is willing to pay monthly for improved water supply.,,,
data/,waterconsumersurvey.rda,satisfaction_service_level,character,Level of satisfaction with the overall water service received.,,,
data/,waterconsumersurvey.rda,satisfaction_maintenance_fund,character,Satisfaction with how the maintenance fund is managed by the Water Point Committee.,,,
data/,waterconsumersurvey.rda,satisfaction_sanitation_hygiene,character,Satisfaction with sanitation and hygiene practices around the water point.,,,
data/,waterconsumersurvey.rda,satisfaction_theft_protection,character,Satisfaction with how the water point is protected from theft and vandalism.,,,
data/,waterconsumersurvey.rda,satisfaction_water_quality,character,"Satisfaction with the quality of the water (e.g., taste, color, smell).",,,
